,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila velha,-20.3297,-40.2925,21.97,80,0,6.17,BR,1662795207
1,ribeira grande,38.5167,-28.7,23.22,78,40,10.29,PT,1662795208
2,mar del plata,-38.0023,-57.5575,4.41,87,0,5.36,AR,1662795209
3,thompson,55.7435,-97.8558,8.09,93,75,3.09,CA,1662795211
4,sao joao da barra,-21.6403,-41.0511,20.06,82,0,6.68,BR,1662795212
5,mulchen,-37.7167,-72.2333,2.98,93,6,2.74,CL,1662795213
6,vanavara,60.34,102.2797,10.57,70,100,4.43,RU,1662795214
7,baay,18.1188,120.5753,29.77,79,75,3.6,PH,1662795215
8,busselton,-33.65,115.3333,16.15,63,100,4.28,AU,1662795029
9,pevek,69.7008,170.3133,6.95,75,63,3.29,RU,1662795216
10,ushuaia,-54.8,-68.3,2.81,93,100,5.66,AR,1662795217
11,cape town,-33.9258,18.4232,16.16,86,0,1.79,ZA,1662795040
12,ternate,0.8,127.4,28.03,74,100,1.65,ID,1662795219
13,provideniya,64.3833,-173.3,7.53,78,28,2.71,RU,1662795219
14,rikitea,-23.1203,-134.9692,22,77,7,7.76,PF,1662795220
15,mackenzie,55.2999,-123.1698,10.12,76,0,2.57,CA,1662795222
16,port elizabeth,-33.918,25.5701,20.61,94,75,2.06,ZA,1662795223
17,umm lajj,25.0213,37.2685,32.07,62,0,5.09,SA,1662795224
18,fernley,39.608,-119.2518,23.33,13,0,2.21,US,1662795225
19,yellowknife,62.456,-114.3525,6.29,87,40,3.09,CA,1662795060
20,laramie,41.3114,-105.5911,6.54,87,100,5.14,US,1662795226
21,hobart,-42.8794,147.3294,14.59,84,75,5.66,AU,1662794880
22,wenzhou,27.9994,120.6668,30.51,47,4,3.57,CN,1662794808
23,ponta do sol,32.6667,-17.1,24.28,78,24,2.39,PT,1662795229
24,kapaa,22.0752,-159.319,26.18,86,75,5.66,US,1662795232
25,suntar,62.1444,117.6319,9.85,54,95,4.31,RU,1662795232
26,punta arenas,-53.15,-70.9167,4.06,87,40,10.29,CL,1662795233
27,boqueirao,-7.5,-36.1333,18.75,97,24,2.01,BR,1662795234
28,berlevag,70.8578,29.0864,8.97,81,75,9.26,NO,1662795235
29,chapais,49.7834,-74.8492,14.88,78,6,3.18,CA,1662795236
30,edson,53.5835,-116.4356,4.08,93,0,2.06,CA,1662795237
31,ilheus,-14.7889,-39.0494,17.54,88,40,1.41,BR,1662795238
32,puerto ayora,-0.7393,-90.3518,18.64,96,95,4.92,EC,1662795239
33,clyde river,70.4692,-68.5914,3.13,100,100,2.06,CA,1662795240
34,saint-philippe,-21.3585,55.7679,24.77,70,7,6.67,RE,1662795241
35,hofn,64.2539,-15.2082,11.42,98,100,3.57,IS,1662795242
36,djambala,-2.5447,14.7533,22.07,78,99,2.43,CG,1662795243
37,tasiilaq,65.6145,-37.6368,4.09,65,21,2.64,GL,1662795243
38,vardo,70.3705,31.1107,10.99,76,100,6.17,NO,1662795244
39,beringovskiy,63.05,179.3167,8.29,84,100,2.46,RU,1662795246
40,mataura,-46.1927,168.8643,9.15,98,11,1.09,NZ,1662795246
41,guerrero negro,27.9769,-114.0611,24.03,80,0,3.86,MX,1662795248
42,qaanaaq,77.484,-69.3632,-1.46,62,7,3.3,GL,1662795249
43,codrington,-38.2667,141.9667,10.33,77,100,5.89,AU,1662795250
44,sur,22.5667,59.5289,32.76,45,71,3.36,OM,1662795251
45,esperance,-33.8667,121.9,15.63,69,46,5.38,AU,1662795252
46,port alfred,-33.5906,26.891,19.54,83,21,1.34,ZA,1662795253
